Timestamp,Value,ValueStatus,ExportType,TimestampPrecisionType,IncludeBadValues,TotalEvents,TotalGoodValues,TotalBadValues,LowestFrequency,HighestFrequency,AverageFrequency,DigitalSet,ExceptionDeviation,ExceptionMaximum,ExceptionMinimum,ExceptionPercentage,Span,Zero,EngineeringUnits,Compressing,Step,CompressionDeviation,CompressionMaximum,CompressionMinimum,CompressionPercentage,IsOutlier
2024-08-14 14:02:00+00:00,-130.05,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:03:00+00:00,-130.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,True
2024-08-14 14:04:00+00:00,-130.2,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:05:00+00:00,-130.33333333333334,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:06:00+00:00,-130.35000000000002,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:07:00+00:00,-130.55,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:08:00+00:00,-130.7,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:09:00+00:00,-130.82500000000002,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:10:00+00:00,-131.0,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-08-14 14:11:00+00:00,-131.20000000000002,1.0,2.0,1.0,1.0,132627.0,132526.0,101.0,0.0,0.0926388888888889,0.0023835942891649,,0.0,0.0,0.0,0.0,100.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,True
